AUDIENCE,COMPARISON_POPULATION,COMMUNITY,PERC_AUDIENCE,MEDIAN_SPEND_PER_CUSTOMER,SPC,SPP,PPC,PERC_COMPARISON,COMPARISON_MEDIAN_SPEND_PER_CUSTOMER,COMPARISON_SPC,COMPARISON_SPP,COMPARISON_PPC,PERC_INDEX,SPC_INDEX,SPP_INDEX,PPC_INDEX,COMPOSITE_INDEX
Current Season Ticket Member,NWSL Fans,Dollar Store Shoppers,0.378277,14.64,226.17,24.38,9.277228,0.703000,16.83,386.67,30.83,12.541588,53.81,58.49,79.08,73.97,66.3375
Current Season Ticket Member,Local Gen Pop (Excl. Seattle Reign Fans),Dollar Store Shoppers,0.378277,14.64,226.17,24.38,9.277228,0.543724,16.58,367.2,29.22,12.567381,69.57,61.59,83.44,73.82,72.105
Current Season Ticket Member,Other Seattle/Washington Sports Fans,Dollar Store Shoppers,0.378277,14.64,226.17,24.38,9.277228,0.632108,17.91,356.38,32.03,11.125932,59.84,63.46,76.11,83.38,70.6975
Current Season Ticket Member,General Population,Dollar Store Shoppers,0.378277,14.64,226.17,24.38,9.277228,0.505710,110.74,462.8,25.72,17.995702,74.80,48.87,94.8,51.55,67.505
Seattle Reign FC,General Population,Casual Outdoor Enthusiasts,0.377749,88.80,733.99,128.96,5.691539,0.089910,144.09,379.07,110.72,3.423665,420.14,193.63,116.47,166.24,224.12
Seattle Reign FC,Local Gen Pop (Excl. Seattle Reign Fans),Casual Outdoor Enthusiasts,0.377749,88.80,733.99,128.96,5.691539,0.169889,83.11,542.7,121.68,4.459913,222.35,135.25,105.98,127.62,147.8
Seattle Reign FC,NWSL Fans,Casual Outdoor Enthusiasts,0.377749,88.80,733.99,128.96,5.691539,0.286803,83.7,590.47,121.27,4.869021,131.71,124.31,106.34,116.89,119.8125
Seattle Reign FC,Other Seattle/Washington Sports Fans,Casual Outdoor Enthusiasts,0.377749,88.80,733.99,128.96,5.691539,0.347117,86.27,702.54,127.78,5.498275,108.82,104.48,100.93,103.51,104.435
Single Match Buyers and Attendees,Other Seattle/Washington Sports Fans,Dollar Store Shoppers,0.392850,16.51,332.98,28.07,11.861918,0.632108,17.91,356.38,32.03,11.125932,62.15,93.43,87.63,106.62,87.4575
Single Match Buyers and Attendees,NWSL Fans,Dollar Store Shoppers,0.392850,16.51,332.98,28.07,11.861918,0.703000,16.83,386.67,30.83,12.541588,55.88,86.11,91.04,94.58,81.9025
Single Match Buyers and Attendees,General Population,Dollar Store Shoppers,0.392850,16.51,332.98,28.07,11.861918,0.505710,110.74,462.8,25.72,17.995702,77.68,71.95,109.15,65.92,81.175
Single Match Buyers and Attendees,Other Seattle/Washington Sports Fans,Gen Z Brand Shoppers,0.379624,28.31,1248.27,54.09,23.079525,0.642986,29.08,1291.43,49.64,26.016521,59.04,96.66,108.97,88.71,88.345
Single Match Buyers and Attendees,Local Gen Pop (Excl. Seattle Reign Fans),Gen Z Brand Shoppers,0.379624,28.31,1248.27,54.09,23.079525,0.463133,26.87,1473.72,53.91,27.334582,81.97,84.7,100.33,84.43,87.8575
Single Match Buyers and Attendees,General Population,Gen Z Brand Shoppers,0.379624,28.31,1248.27,54.09,23.079525,0.401002,260.75,1844.2,55.79,33.058907,94.67,67.69,96.96,69.81,82.2825
Single Match Buyers and Attendees,NWSL Fans,Gen Z Brand Shoppers,0.379624,28.31,1248.27,54.09,23.079525,0.717178,27.34,1064.76,44.8,23.769022,52.93,117.23,120.75,97.1,97.0025
Season Ticket Members,NWSL Fans,Boomer Brand Shoppers,0.375527,17.61,1396.15,98.62,14.157303,0.644176,21.9,836.55,77.74,10.76087,58.30,166.89,126.86,131.56,120.9025
Single Match Buyers and Attendees,NWSL Fans,Travelers,0.436074,114.72,4547.01,282.95,16.070110,0.731897,95.9,4257.17,254.91,16.700944,59.58,106.81,111,96.22,93.4025
Single Match Buyers and Attendees,Local Gen Pop (Excl. Seattle Reign Fans),Travelers,0.436074,114.72,4547.01,282.95,16.070110,0.511046,114.21,3404.18,279.29,12.188902,85.33,133.57,101.31,131.84,113.0125
Single Match Buyers and Attendees,General Population,Travelers,0.436074,114.72,4547.01,282.95,16.070110,0.374936,554.37,2462.08,264.41,9.311527,116.31,184.68,107.01,172.58,145.145
Season Ticket Members,Other Seattle/Washington Sports Fans,Home Improvement,0.367089,37.25,1530.56,101.30,15.109195,0.563521,42.15,2215.99,112.42,19.712307,65.14,69.07,90.11,76.65,75.2425
Season Ticket Members,Local Gen Pop (Excl. Seattle Reign Fans),Home Improvement,0.367089,37.25,1530.56,101.30,15.109195,0.502600,39.9,1806.28,109.08,16.559251,73.04,84.74,92.87,91.24,85.4725
Season Ticket Members,General Population,Gen Z Brand Shoppers,0.364979,33.31,1452.45,58.76,24.716763,0.401002,260.75,1844.2,55.79,33.058907,91.02,78.76,105.33,74.77,87.47
Season Ticket Members,NWSL Fans,Gen Z Brand Shoppers,0.364979,33.31,1452.45,58.76,24.716763,0.717178,27.34,1064.76,44.8,23.769022,50.89,136.41,131.17,103.99,105.615
Season Ticket Members,Other Seattle/Washington Sports Fans,Gen Z Brand Shoppers,0.364979,33.31,1452.45,58.76,24.716763,0.642986,29.08,1291.43,49.64,26.016521,56.76,112.47,118.38,95,95.6525
Season Ticket Members,Other Seattle/Washington Sports Fans,Boomer Brand Shoppers,0.375527,17.61,1396.15,98.62,14.157303,0.621485,17.65,1056.08,86.18,12.254384,60.42,132.2,114.44,115.53,105.6475
Single Match Buyers and Attendees,Other Seattle/Washington Sports Fans,UEFA,0.004217,42.35,160.59,94.21,1.704545,0.003564,41.56,159.18,73.8,2.157025,118.32,100.89,127.66,79.02,106.4725
Single Match Buyers and Attendees,NWSL Fans,UEFA,0.004217,42.35,160.59,94.21,1.704545,0.014681,36.6,214.38,81.62,2.62641,28.72,74.91,115.42,64.9,70.9875
Single Match Buyers and Attendees,General Population,UEFA,0.004217,42.35,160.59,94.21,1.704545,0.000715,106.58,197.71,97.39,2.030121,589.79,81.22,96.73,83.96,212.925
Single Match Buyers and Attendees,Local Gen Pop (Excl. Seattle Reign Fans),UEFA,0.004217,42.35,160.59,94.21,1.704545,0.001086,44,160.18,79.27,2.020806,388.31,100.25,118.85,84.35,172.94
Single Match Buyers and Attendees,Local Gen Pop (Excl. Seattle Reign Fans),Adult Recreational Sports,0.004121,89.62,241.70,118.10,2.046512,0.001542,76.89,272.06,96.24,2.826923,267.25,88.84,122.71,72.39,137.7975
Single Match Buyers and Attendees,General Population,Adult Recreational Sports,0.004121,89.62,241.70,118.10,2.046512,0.001000,96.81,235.68,56.93,4.139677,412.10,102.55,207.44,49.44,192.8825
Single Match Buyers and Attendees,NWSL Fans,Adult Recreational Sports,0.004121,89.62,241.70,118.10,2.046512,0.016806,53.88,345.04,70.88,4.868227,24.52,70.05,166.63,42.04,75.81
Single Match Buyers and Attendees,Other Seattle/Washington Sports Fans,Adult Recreational Sports,0.004121,89.62,241.70,118.10,2.046512,0.005164,88.98,323.53,116.08,2.787072,79.80,74.71,101.74,73.43,82.42
Single Match Buyers and Attendees,General Population,Youth Sports - Volleyball,0.003163,13.67,52.58,16.68,3.151515,0.001447,30.86,83.98,33.49,2.507884,218.59,62.61,49.81,125.66,114.1675
Single Match Buyers and Attendees,Other Seattle/Washington Sports Fans,Youth Sports - Volleyball,0.003163,13.67,52.58,16.68,3.151515,0.006607,15.13,47.49,17.07,2.781575,47.87,110.72,97.7,113.3,92.3975
Single Match Buyers and Attendees,Other Seattle/Washington Sports Fans,Cat Lovers,0.002971,31.03,432.22,47.01,9.193548,0.006156,42.85,574.98,52.87,10.875598,48.26,75.17,88.92,84.53,74.22
Single Match Buyers and Attendees,NWSL Fans,Cat Lovers,0.002971,31.03,432.22,47.01,9.193548,0.004198,37.56,489.76,50.15,9.764996,70.77,88.25,93.73,94.15,86.725
Single Match Buyers and Attendees,Local Gen Pop (Excl. Seattle Reign Fans),Cat Lovers,0.002971,31.03,432.22,47.01,9.193548,0.003426,43.57,520.07,56,9.28648,86.72,83.11,83.94,99,88.1925
Single Match Buyers and Attendees,General Population,Cat Lovers,0.002971,31.03,432.22,47.01,9.193548,0.001735,227.19,461.42,52.37,8.810789,171.24,93.67,89.77,104.34,114.755
Single Match Buyers and Attendees,Local Gen Pop (Excl. Seattle Reign Fans),Premier League,0.002588,35.98,126.39,77.56,1.629630,0.000692,29.6,145.45,65.21,2.230612,373.99,86.89,118.94,73.06,163.22
Single Match Buyers and Attendees,Other Seattle/Washington Sports Fans,Premier League,0.002588,35.98,126.39,77.56,1.629630,0.002288,29.19,143.56,61.04,2.351931,113.11,88.04,127.06,69.29,99.375
Past Season Ticket Member,General Population,Surf,0.038278,89.37,422.74,241.57,1.750000,0.013829,64.46,125.33,72.96,1.717931,276.80,337.29,331.11,101.87,261.7675
Past Season Ticket Member,Other Seattle/Washington Sports Fans,Surf,0.038278,89.37,422.74,241.57,1.750000,0.050994,59.39,147.04,83.81,1.754332,75.06,287.51,288.22,99.75,187.635
Past Season Ticket Member,NWSL Fans,Surf,0.038278,89.37,422.74,241.57,1.750000,0.087780,56.59,180.95,80.91,2.236492,43.61,233.62,298.58,78.25,163.515
Past Season Ticket Member,Local Gen Pop (Excl. Seattle Reign Fans),Surf,0.038278,89.37,422.74,241.57,1.750000,0.021665,56.27,147.01,84.51,1.739652,176.68,287.55,285.86,100.59,212.67
Past Season Ticket Member,Other Seattle/Washington Sports Fans,Traditional Gyms,0.038278,44.47,730.92,65.70,11.125000,0.153265,43.76,957.61,67.81,14.122478,24.98,76.33,96.89,78.78,69.245
Past Season Ticket Member,General Population,Traditional Gyms,0.038278,44.47,730.92,65.70,11.125000,0.037996,288.04,694.84,53.59,12.964977,100.74,105.19,122.59,85.81,103.5825
Past Season Ticket Member,NWSL Fans,Traditional Gyms,0.038278,44.47,730.92,65.70,11.125000,0.146139,35.13,872.33,58.25,14.974507,26.19,83.79,112.78,74.29,74.2625
Past Season Ticket Member,Local Gen Pop (Excl. Seattle Reign Fans),Traditional Gyms,0.038278,44.47,730.92,65.70,11.125000,0.069919,40.84,818.5,62.28,13.142393,54.75,89.3,105.49,84.65,83.5475
2025 Single Match Attendee,Other Seattle/Washington Sports Fans,Runners,0.037988,28.86,312.40,86.26,3.621622,0.079141,33.47,304.21,77.16,3.942687,48.00,102.69,111.8,91.86,88.5875
2025 Single Match Attendee,General Population,Runners,0.037988,28.86,312.40,86.26,3.621622,0.052415,135.02,244.36,105.2,2.322762,72.48,127.85,82,155.92,109.5625
2025 Single Match Attendee,Local Gen Pop (Excl. Seattle Reign Fans),Runners,0.037988,28.86,312.40,86.26,3.621622,0.046732,37.05,278.25,78.92,3.525958,81.29,112.27,109.31,102.71,101.395
2025 Single Match Attendee,NWSL Fans,Runners,0.037988,28.86,312.40,86.26,3.621622,0.111678,73.32,256.55,96.5,2.658502,34.02,121.77,89.39,136.23,95.3525
Full Matched Fanbase,NWSL Fans,Men,0.037903,46.49,317.94,83.63,3.801782,0.077711,40.12,399.1,80.74,4.942738,48.77,79.66,103.57,76.92,77.23
Full Matched Fanbase,General Population,Men,0.037903,46.49,317.94,83.63,3.801782,0.029478,121.7,302.77,67.77,4.46794,128.58,105.01,123.41,85.09,110.5225
Full Matched Fanbase,Other Seattle/Washington Sports Fans,Men,0.037903,46.49,317.94,83.63,3.801782,0.079593,43.89,421.94,89.25,4.727519,47.62,75.35,93.7,80.42,74.2725
Full Matched Fanbase,Local Gen Pop (Excl. Seattle Reign Fans),Men,0.037903,46.49,317.94,83.63,3.801782,0.039770,41.38,367.6,84.45,4.352603,95.31,86.49,99.02,87.35,92.0425
Combined Reign Fanbase,NWSL Fans,Mattress Buyers,0.037684,519.69,1519.71,1150.71,1.320665,0.030901,503.21,1373.28,1042.26,1.317593,121.95,110.66,110.4,100.23,110.81
Combined Reign Fanbase,Other Seattle/Washington Sports Fans,Mattress Buyers,0.037684,519.69,1519.71,1150.71,1.320665,0.039585,535.31,1589.33,1179.93,1.346974,95.20,95.62,97.52,98.05,96.5975
Combined Reign Fanbase,General Population,Mattress Buyers,0.037684,519.69,1519.71,1150.71,1.320665,0.012726,662.64,1366.77,1037.07,1.317914,296.12,111.19,110.96,100.21,154.62
Combined Reign Fanbase,Local Gen Pop (Excl. Seattle Reign Fans),Mattress Buyers,0.037684,519.69,1519.71,1150.71,1.320665,0.024502,557.19,1565.05,1184.76,1.32098,153.80,97.1,97.13,99.98,112.0025
Past Single Match Attendee,NWSL Fans,International Travelers,0.037571,87.16,1675.04,403.51,4.151163,0.082040,142.38,2155.97,517.62,4.165118,45.80,77.69,77.95,99.66,75.275
Past Single Match Attendee,Other Seattle/Washington Sports Fans,International Travelers,0.037571,87.16,1675.04,403.51,4.151163,0.067949,157.64,3338.28,561.53,5.94495,55.29,50.18,71.86,69.83,61.79
Past Single Match Attendee,General Population,International Travelers,0.037571,87.16,1675.04,403.51,4.151163,0.023475,671.79,2147.57,608.44,3.529647,160.05,78,66.32,117.61,105.495
Past Single Match Attendee,Local Gen Pop (Excl. Seattle Reign Fans),International Travelers,0.037571,87.16,1675.04,403.51,4.151163,0.040907,202.93,2893.51,676.42,4.277695,91.84,57.89,59.65,97.04,76.605
Current Season Ticket Member,Local Gen Pop (Excl. Seattle Reign Fans),Cycling,0.037453,47.77,1130.00,213.21,5.300000,0.020581,45.33,928.47,107.75,8.616646,181.98,121.71,197.87,61.51,140.7675
Current Season Ticket Member,Other Seattle/Washington Sports Fans,Cycling,0.037453,47.77,1130.00,213.21,5.300000,0.050247,46.18,1043.22,100.27,10.404455,74.54,108.32,212.64,50.94,111.61
Current Season Ticket Member,NWSL Fans,Cycling,0.037453,47.77,1130.00,213.21,5.300000,0.052860,43.06,894.25,87.46,10.22455,70.85,126.36,243.78,51.84,123.2075
Current Season Ticket Member,General Population,Cycling,0.037453,47.77,1130.00,213.21,5.300000,0.010091,241.02,827.91,95.52,8.667192,371.15,136.49,223.21,61.15,198
Current Season Ticket Member,NWSL Fans,Home Workout Enthusiasts,0.037453,52.16,2049.67,100.97,20.300000,0.036813,43.09,955.44,68.16,14.017335,101.74,214.53,148.13,144.82,152.305
Current Season Ticket Member,Local Gen Pop (Excl. Seattle Reign Fans),Home Workout Enthusiasts,0.037453,52.16,2049.67,100.97,20.300000,0.018090,44.59,909.28,78.45,11.590945,207.04,225.42,128.71,175.14,184.0775
Current Season Ticket Member,Other Seattle/Washington Sports Fans,Home Workout Enthusiasts,0.037453,52.16,2049.67,100.97,20.300000,0.041421,45.76,1034.34,75.9,13.627874,90.42,198.16,133.03,148.96,142.6425
Current Season Ticket Member,General Population,Home Workout Enthusiasts,0.037453,52.16,2049.67,100.97,20.300000,0.010452,303.46,797.16,73.11,10.904071,358.33,257.12,138.11,186.17,234.9325
Current Season Ticket Member,General Population,Youth Sports - Soccer,0.037453,82.54,1188.35,130.59,9.100000,0.004302,167.73,341.04,129.39,2.635749,870.60,348.45,100.93,345.25,416.3075
Current Season Ticket Member,Local Gen Pop (Excl. Seattle Reign Fans),Youth Sports - Soccer,0.037453,82.54,1188.35,130.59,9.100000,0.006318,89.18,450.16,147.77,3.046267,592.80,263.99,88.37,298.73,310.9725
Current Season Ticket Member,Other Seattle/Washington Sports Fans,Youth Sports - Soccer,0.037453,82.54,1188.35,130.59,9.100000,0.018467,86.71,505.48,141.32,3.576821,202.81,235.09,92.41,254.42,196.1825
Current Season Ticket Member,NWSL Fans,Youth Sports - Soccer,0.037453,82.54,1188.35,130.59,9.100000,0.091495,82.8,501.38,125.22,4.004034,40.93,237.02,104.29,227.27,152.3775
Past Single Match Buyer,Local Gen Pop (Excl. Seattle Reign Fans),Men,0.037263,49.16,375.18,86.97,4.314159,0.039770,41.38,367.6,84.45,4.352603,93.70,102.06,102.98,99.12,99.465
Past Single Match Buyer,Other Seattle/Washington Sports Fans,Men,0.037263,49.16,375.18,86.97,4.314159,0.079593,43.89,421.94,89.25,4.727519,46.82,88.92,97.44,91.26,81.11
Past Single Match Buyer,General Population,Men,0.037263,49.16,375.18,86.97,4.314159,0.029478,121.7,302.77,67.77,4.46794,126.41,123.91,128.34,96.56,118.805
Past Single Match Buyer,NWSL Fans,Men,0.037263,49.16,375.18,86.97,4.314159,0.077711,40.12,399.1,80.74,4.942738,47.95,94.01,107.71,87.28,84.2375
Single Match Buyers and Attendees,NWSL Fans,Volleyball,0.004121,9.84,62.69,16.85,3.720930,0.007720,21.02,199.4,57.09,3.492851,53.38,31.44,29.52,106.53,55.2175
Single Match Buyers and Attendees,Other Seattle/Washington Sports Fans,Volleyball,0.004121,9.84,62.69,16.85,3.720930,0.006872,15.16,61.27,22.18,2.762857,59.97,102.31,75.98,134.68,93.235
Single Match Buyers and Attendees,Local Gen Pop (Excl. Seattle Reign Fans),Volleyball,0.004121,9.84,62.69,16.85,3.720930,0.002892,18.01,87.65,32.17,2.724609,142.50,71.52,52.38,136.57,100.7425
Single Match Buyers and Attendees,General Population,Volleyball,0.004121,9.84,62.69,16.85,3.720930,0.002035,33.28,126.91,43.32,2.929398,202.51,49.4,38.9,127.02,104.4575
Single Match Buyers and Attendees,Local Gen Pop (Excl. Seattle Reign Fans),Boxing,0.003450,94.64,534.23,85.10,6.277778,0.002742,69.24,275.15,80.69,3.409887,125.82,194.16,105.46,184.11,152.3875
Single Match Buyers and Attendees,Other Seattle/Washington Sports Fans,Boxing,0.003450,94.64,534.23,85.10,6.277778,0.006607,77.94,297.16,81.23,3.658247,52.22,179.78,104.77,171.61,127.095
Single Match Buyers and Attendees,NWSL Fans,Boxing,0.003450,94.64,534.23,85.10,6.277778,0.012287,47.33,275.32,69.71,3.949467,28.08,194.04,122.07,158.95,125.785
Single Match Buyers and Attendees,General Population,Boxing,0.003450,94.64,534.23,85.10,6.277778,0.001985,85.4,285.89,80.49,3.551776,173.80,186.87,105.72,176.75,160.785
Single Match Buyers and Attendees,NWSL Fans,Sober Curious,0.003450,53.60,146.93,60.80,2.416667,0.005892,52.43,186.63,68.16,2.73829,58.55,78.73,89.21,88.25,78.685
Single Match Buyers and Attendees,Other Seattle/Washington Sports Fans,Sober Curious,0.003450,53.60,146.93,60.80,2.416667,0.006411,52.99,193.38,68.85,2.808576,53.81,75.98,88.3,86.05,76.035
Email/Marketing Lead Only,NWSL Fans,Flag Football,0.004655,80.21,151.58,94.74,1.600000,0.005323,126.52,348.33,136.55,2.550875,87.45,43.52,69.38,62.72,65.7675
Email/Marketing Lead Only,Local Gen Pop (Excl. Seattle Reign Fans),Flag Football,0.004655,80.21,151.58,94.74,1.600000,0.001109,51.14,202.87,104.98,1.932484,419.75,74.72,90.24,82.79,166.875
Email/Marketing Lead Only,General Population,Flag Football,0.004655,80.21,151.58,94.74,1.600000,0.000873,45.36,245.77,86.92,2.827565,533.22,61.68,109,56.59,190.1225
Email/Marketing Lead Only,Other Seattle/Washington Sports Fans,Flag Football,0.004655,80.21,151.58,94.74,1.600000,0.003907,115.2,191.06,111.5,1.713568,119.15,79.34,84.97,93.37,94.2075
Email/Marketing Lead Only,NWSL Fans,Lacrosse,0.004655,29.76,33.35,27.79,1.200000,0.009638,55.28,378.56,100.31,3.773801,48.30,8.81,27.7,31.8,29.1525
Email/Marketing Lead Only,General Population,Lacrosse,0.004655,29.76,33.35,27.79,1.200000,0.001193,97.54,251.21,100.79,2.492329,390.19,13.28,27.57,48.15,119.7975
Email/Marketing Lead Only,Other Seattle/Washington Sports Fans,Lacrosse,0.004655,29.76,33.35,27.79,1.200000,0.007393,36.23,195.2,70.53,2.767596,62.96,17.08,39.4,43.36,40.7
Email/Marketing Lead Only,Local Gen Pop (Excl. Seattle Reign Fans),Lacrosse,0.004655,29.76,33.35,27.79,1.200000,0.002069,36.96,229.21,84.24,2.720819,224.99,14.55,32.99,44.1,79.1575
Email/Marketing Lead Only,General Population,Motorcycle Enthusiasts,0.004655,76.77,333.86,104.33,3.200000,0.011363,175.82,697.52,229.34,3.041417,40.97,47.86,45.49,105.21,59.8825
Email/Marketing Lead Only,Local Gen Pop (Excl. Seattle Reign Fans),Motorcycle Enthusiasts,0.004655,76.77,333.86,104.33,3.200000,0.013929,108.1,783.85,269.29,2.910778,33.42,42.59,38.74,109.94,56.1725
Email/Marketing Lead Only,Other Seattle/Washington Sports Fans,Motorcycle Enthusiasts,0.004655,76.77,333.86,104.33,3.200000,0.021403,107.73,753.29,262.12,2.873853,21.75,44.32,39.8,111.35,54.305
Email/Marketing Lead Only,NWSL Fans,Motorcycle Enthusiasts,0.004655,76.77,333.86,104.33,3.200000,0.014319,102.27,612.68,242.31,2.528547,32.51,54.49,43.06,126.55,64.1525
Email/Marketing Lead Only,General Population,UEFA,0.004655,14.54,94.99,67.85,1.400000,0.000715,106.58,197.71,97.39,2.030121,651.05,48.04,69.67,68.96,209.43
Email/Marketing Lead Only,Other Seattle/Washington Sports Fans,UEFA,0.004655,14.54,94.99,67.85,1.400000,0.003564,41.56,159.18,73.8,2.157025,130.61,59.67,91.94,64.9,86.78
Email/Marketing Lead Only,Local Gen Pop (Excl. Seattle Reign Fans),UEFA,0.004655,14.54,94.99,67.85,1.400000,0.001086,44,160.18,79.27,2.020806,428.64,59.3,85.6,69.28,160.705
Email/Marketing Lead Only,NWSL Fans,UEFA,0.004655,14.54,94.99,67.85,1.400000,0.014681,36.6,214.38,81.62,2.62641,31.71,44.31,83.13,53.3,53.1125
Full Matched Fanbase,Other Seattle/Washington Sports Fans,Lacrosse,0.004643,35.11,122.88,52.39,2.345455,0.007393,36.23,195.2,70.53,2.767596,62.80,62.95,74.28,84.75,71.195
Full Matched Fanbase,NWSL Fans,Lacrosse,0.004643,35.11,122.88,52.39,2.345455,0.009638,55.28,378.56,100.31,3.773801,48.17,32.46,52.23,62.15,48.7525
Full Matched Fanbase,Local Gen Pop (Excl. Seattle Reign Fans),Lacrosse,0.004643,35.11,122.88,52.39,2.345455,0.002069,36.96,229.21,84.24,2.720819,224.41,53.61,62.19,86.2,106.6025
Full Matched Fanbase,General Population,Lacrosse,0.004643,35.11,122.88,52.39,2.345455,0.001193,97.54,251.21,100.79,2.492329,389.19,48.91,51.98,94.11,146.0475
Past Single Match Buyer,General Population,Auto Racing,0.004617,10.32,109.80,21.35,5.142857,0.005044,75.95,204.36,59.17,3.453558,91.53,53.73,36.08,148.91,82.5625
Past Single Match Buyer,NWSL Fans,Auto Racing,0.004617,10.32,109.80,21.35,5.142857,0.020349,12.14,184.01,45.54,4.040346,22.69,59.67,46.88,127.29,64.1325
Past Single Match Buyer,Local Gen Pop (Excl. Seattle Reign Fans),Auto Racing,0.004617,10.32,109.80,21.35,5.142857,0.005074,11.7,197.72,45.76,4.32118,90.99,55.53,46.66,119.02,78.05
Past Single Match Buyer,Other Seattle/Washington Sports Fans,Auto Racing,0.004617,10.32,109.80,21.35,5.142857,0.010505,11.17,189.74,37.48,5.062617,43.95,57.87,56.97,101.58,65.0925
Full Matched Fanbase,Local Gen Pop (Excl. Seattle Reign Fans),Luxury Fitness Clubs,0.004474,102.43,1419.31,151.97,9.339623,0.002178,85.72,1618.11,134.49,12.031777,205.42,87.71,113,77.62,120.9375
Full Matched Fanbase,NWSL Fans,Luxury Fitness Clubs,0.004474,102.43,1419.31,151.97,9.339623,0.012984,84.77,1644.25,132.53,12.406217,34.46,86.32,114.66,75.28,77.68
Full Matched Fanbase,General Population,Luxury Fitness Clubs,0.004474,102.43,1419.31,151.97,9.339623,0.003850,240.48,1470.82,111.56,13.184234,116.21,96.5,136.22,70.84,104.9425
Full Matched Fanbase,Other Seattle/Washington Sports Fans,Luxury Fitness Clubs,0.004474,102.43,1419.31,151.97,9.339623,0.002307,145.79,1382.7,161.42,8.565957,193.93,102.65,94.15,109.03,124.94
Past Single Match Buyer,Other Seattle/Washington Sports Fans,Pickleball,0.004452,35.10,131.00,58.95,2.222222,0.005174,56.55,240.35,117.39,2.047438,86.05,54.5,50.22,108.54,74.8275
Past Single Match Buyer,General Population,Pickleball,0.004452,35.10,131.00,58.95,2.222222,0.003838,58.11,137.19,61.85,2.218002,116.00,95.49,95.31,100.19,101.7475
Past Single Match Buyer,NWSL Fans,Pickleball,0.004452,35.10,131.00,58.95,2.222222,0.014284,30.14,170.49,57.11,2.985269,31.17,76.84,103.22,74.44,71.4175
Past Single Match Buyer,Local Gen Pop (Excl. Seattle Reign Fans),Pickleball,0.004452,35.10,131.00,58.95,2.222222,0.003183,37.21,183.57,83.76,2.191659,139.87,71.36,70.38,101.39,95.75
Full Matched Fanbase,Other Seattle/Washington Sports Fans,Pickleball,0.004390,41.36,133.47,68.71,1.942308,0.005174,56.55,240.35,117.39,2.047438,84.85,55.53,58.53,94.87,73.445
Full Matched Fanbase,Local Gen Pop (Excl. Seattle Reign Fans),Pickleball,0.004390,41.36,133.47,68.71,1.942308,0.003183,37.21,183.57,83.76,2.191659,137.92,72.71,82.03,88.62,95.32
Full Matched Fanbase,NWSL Fans,Pickleball,0.004390,41.36,133.47,68.71,1.942308,0.014284,30.14,170.49,57.11,2.985269,30.73,78.29,120.31,65.06,73.5975
Full Matched Fanbase,General Population,Pickleball,0.004390,41.36,133.47,68.71,1.942308,0.003838,58.11,137.19,61.85,2.218002,114.38,97.29,111.09,87.57,102.5825
Past Single Match Attendee,NWSL Fans,Horse Racing,0.004369,99.70,335.50,152.50,2.200000,0.015088,44.18,1341.76,92.71,14.472794,28.96,25,164.49,15.2,58.4125
Past Single Match Attendee,Other Seattle/Washington Sports Fans,Horse Racing,0.004369,99.70,335.50,152.50,2.200000,0.004781,37.13,2595.38,52.54,49.400411,91.38,12.93,290.27,4.45,99.7575
Past Single Match Attendee,General Population,Horse Racing,0.004369,99.70,335.50,152.50,2.200000,0.004883,83.78,1910.89,94.91,20.133311,89.47,17.56,160.68,10.93,69.66
Past Single Match Attendee,Local Gen Pop (Excl. Seattle Reign Fans),Horse Racing,0.004369,99.70,335.50,152.50,2.200000,0.003055,49.08,3174.42,76.03,41.753583,143.01,10.57,200.59,5.27,89.86
Past Single Match Buyer,NWSL Fans,Boxing,0.004287,97.38,659.21,88.35,7.461538,0.012287,47.33,275.32,69.71,3.949467,34.89,239.43,126.74,188.93,147.4975
Past Single Match Buyer,General Population,Boxing,0.004287,97.38,659.21,88.35,7.461538,0.001985,85.4,285.89,80.49,3.551776,215.97,230.58,109.76,210.08,191.5975
Past Single Match Buyer,Other Seattle/Washington Sports Fans,Boxing,0.004287,97.38,659.21,88.35,7.461538,0.006607,77.94,297.16,81.23,3.658247,64.89,221.84,108.77,203.96,149.865
Past Single Match Buyer,Local Gen Pop (Excl. Seattle Reign Fans),Boxing,0.004287,97.38,659.21,88.35,7.461538,0.002742,69.24,275.15,80.69,3.409887,156.35,239.58,109.49,218.82,181.06
Single Match Buyers and Attendees,Other Seattle/Washington Sports Fans,Wrestling,0.002492,57.67,122.35,64.92,1.884615,0.008816,49.59,185.67,66.14,2.80735,28.27,65.9,98.16,67.13,64.865
Single Match Buyers and Attendees,Local Gen Pop (Excl. Seattle Reign Fans),Wrestling,0.002492,57.67,122.35,64.92,1.884615,0.003189,34.44,214.62,51.05,4.204163,78.14,57.01,127.17,44.83,76.7875
Single Match Buyers and Attendees,General Population,Wrestling,0.002492,57.67,122.35,64.92,1.884615,0.002054,70.45,221.29,56.05,3.94793,121.32,55.29,115.82,47.74,85.0425
Single Match Buyers and Attendees,NWSL Fans,NASCAR,0.002396,18.58,174.04,49.44,3.520000,0.010828,28.79,166.2,60.24,2.759159,22.13,104.72,82.08,127.58,84.1275
Single Match Buyers and Attendees,Local Gen Pop (Excl. Seattle Reign Fans),NASCAR,0.002396,18.58,174.04,49.44,3.520000,0.003110,31.25,195.05,69.25,2.81653,77.04,89.23,71.39,124.98,90.66
